Name,Value,Quantity,Notes
12AX7, 12AX7, 12AX7, V1, V2, V3, V4, V5, V6,,9,
C10,10nF 630V,1,
C1a,47uF 63V,1,
C1b,1uF 63V,1,
C2, C3, C14, C8,22nF 630V,4,
C4,100pF 0V,1,
C5, C9, C10,500pF 0V,3,
C11,47pF 630V,1,
C12, C13, C15,100nF 630V,3,
C6a,16uF 500V,1,
C7,250pF 0V,1,
C9,22nF 0V,1,
C17, C22,32uF 500V,2,
C18, C19,10uF 0V,2,
C6b,15uF 475V,1,
D1, D1,1N4007,2,
ELL1,,1,
KT66, KT66, V7, V8,,4,
L1, L2, L3, L5, L6, L7, L8, L9, L10, L11,,10,
L14,<undefined>,1,
R1, R4, R15, R21, R21, R37,10K 2W,6,
R3, R6, R18, R22,1M 2W,4,
R7, R8, R12, R14, R19, R38, R39,100K 2W,7,
R10, R11,270K 2W,2,
R11, R16,10K 5W,2,
R13,820Ω 2W,1,
R15, R28, R29, R40,5,6K 2W,4,
R15,56K 2W,1,
R16,39K 2W,1,
R17,82K 2W,1,
R20,470Ω 2W,1,
R24, R25,220K 2W,2,
R26,27K 2W,1,
R27, R28,470Ω 5W,2,
R29,150K 5W,1,
R30, R31,1Ω 2W,2,
R32,1K 5W,1,
R41,33K 2W,1,
R42,220K 5W,1,
R9a,1,5K 2W,1,
R9b,2,7K 2W,1,
RECT1,,1,
T1, T2, T3,,3,
VR1, VR2, VR4,1M,3,
VR3, VR4, VR8,25k,3,
VR5,250k,1,
VR6,100,1,
VR7,10k,1,
